"","e.cum","delta_e.cum","e.cum_shift","e.rel","j.NH3","pmid","meas.tech","country","inst","ct","dt","air.temp","wind.2m","rain.rate","tan.app","app.rate","man.dm","man.ph","man.source","t.incorp","app.mthd","incorp"
"1",7.148,7.148,0,0.0585373843256081,1.787,182,"micro met","DK",104,4,4,8.2,8.1,0,122.11,31.8,3.7,7.35,0,1000,0,0
"2",8.2921,1.1441,7.148,0.067906805339448,0.0673,182,"micro met","DK",104,21,17,4.45,3.98,0,122.11,31.8,3.7,7.35,0,1000,0,0
"3",11.831,3.5389,8.2921,0.0968880517566129,0.149006315789474,182,"micro met","DK",104,44.75,23.75,7.22,6.57,0.0084211,122.11,31.8,3.7,7.35,0,1000,0,0
"4",12.632,0.801,11.831,0.103447711080174,0.0166044776119403,182,"micro met","DK",104,92.99,48.24,10.04,4.86,0.05597,122.11,31.8,3.7,7.35,0,1000,0,0
"5",16.419,3.787,12.632,0.134460732126771,0.0525972222222222,182,"micro met","DK",104,164.99,72,12.13,5.38,0.088889,122.11,31.8,3.7,7.35,0,1000,0,0
"6",3.4692,3.4692,0,0.0594855967078189,0.5782,183,"micro met","DK",104,6,6,13.77,4.31,0,58.32,21.6,2.8,7.71,0,1000,1,0
"7",5.5152,2.046,3.4692,0.0945679012345679,0.141103448275862,183,"micro met","DK",104,20.5,14.5,9.88,3.38,0,58.32,21.6,2.8,7.71,0,1000,1,0
"8",5.5152,0,5.5152,0.0945679012345679,0,183,"micro met","DK",104,45.2,24.7,10.64,3.51,0,58.32,21.6,2.8,7.71,0,1000,1,0
"9",5.8272,0.312,5.5152,0.099917695473251,0.00650000000000001,183,"micro met","DK",104,93.2,48,9.45,4.26,0,58.32,21.6,2.8,7.71,0,1000,1,0
"10",6.9332,1.106,5.8272,0.118882030178326,0.0158,183,"micro met","DK",104,163.2,70,10.32,4.84,0,58.32,21.6,2.8,7.71,0,1000,1,0
"11",8.2802,8.2802,0,0.105233592598241,1.60780582524272,184,"micro met","DK",104,5.15,5.15,11.15,8.27,0,78.684,24.9,3.4,7.61,0,1000,0,0
"12",9.4622,1.182,8.2802,0.120255706369783,0.0787999999999999,184,"micro met","DK",104,20.15,15,8.43,6.23,0,78.684,24.9,3.4,7.61,0,1000,0,0
"13",11.235,1.7728,9.4622,0.142786335214275,0.070912,184,"micro met","DK",104,45.15,25,10,7.3,0,78.684,24.9,3.4,7.61,0,1000,0,0
"14",12.195,0.960000000000001,11.235,0.154987036754613,0.0190854870775348,184,"micro met","DK",104,95.45,50.3,12.7,3.77,0,78.684,24.9,3.4,7.61,0,1000,0,0
"15",12.965,0.77,12.195,0.164773016115093,0.0112081513828239,184,"micro met","DK",104,164.15,68.7,10.57,6.16,0.010189,78.684,24.9,3.4,7.61,0,1000,0,0
"16",4.418,4.418,0,0.0702161474888748,0.679692307692308,185,"micro met","DK",104,6.5,6.5,11.62,8.13,0,62.92,24.2,2.7,7.58,0,1000,1,0
"17",5.6186,1.2006,4.418,0.089297520661157,0.0828,185,"micro met","DK",104,21,14.5,8.41,6.26,0,62.92,24.2,2.7,7.58,0,1000,1,0
"18",7.2675,1.6489,5.6186,0.115503814367451,0.0673020408163265,185,"micro met","DK",104,45.5,24.5,9.91,7.42,0,62.92,24.2,2.7,7.58,0,1000,1,0
"19",7.7018,0.4343,7.2675,0.122406230133503,0.00860000000000001,185,"micro met","DK",104,96,50.5,12.66,3.77,0,62.92,24.2,2.7,7.58,0,1000,1,0
"20",8.2469,0.5451,7.7018,0.131069612205976,0.0079,185,"micro met","DK",104,165,69,10.62,6.13,0,62.92,24.2,2.7,7.58,0,1000,1,0
"21",4.7615,4.7615,0,0.083437012634272,1.5115873015873,186,"micro met","DK",104,3.15,3.15,17.48,3.7,0,57.067,38.3,5.2,6.7,0,1000,0,0
"22",6.156,1.3945,4.7615,0.107873201675224,0.083502994011976,186,"micro met","DK",104,19.85,16.7,11.47,2.57,0,57.067,38.3,5.2,6.7,0,1000,0,0
"23",9.12,2.964,6.156,0.159812150629961,0.1235,186,"micro met","DK",104,43.85,24,13.3,4.39,0,57.067,38.3,5.2,6.7,0,1000,0,0
"24",11.083,1.963,9.12,0.19421031419209,0.0384901960784314,186,"micro met","DK",104,94.85,51,12.87,5.79,0,57.067,38.3,5.2,6.7,0,1000,0,0
"25",11.083,0,11.083,0.19421031419209,0,186,"micro met","DK",104,165.85,71,9.15,5.12,0.20845,57.067,38.3,5.2,6.7,0,1000,0,0
"26",2.5821,2.5821,0,0.0553659111863971,0.5738,187,"micro met","DK",104,4.5,4.5,16.98,3.64,0,46.637,31.3,5.2,6.7,0,1000,1,0
"27",3.9154,1.3333,2.5821,0.0839547998370393,0.0796,187,"micro met","DK",104,21.25,16.75,11.47,2.57,0,46.637,31.3,5.2,6.7,0,1000,1,0
"28",6.517,2.6016,3.9154,0.139738833973026,0.1084,187,"micro met","DK",104,45.25,24,13.3,4.39,0,46.637,31.3,5.2,6.7,0,1000,1,0
"29",8.5522,2.0352,6.517,0.183378004588631,0.0403009900990099,187,"micro met","DK",104,95.75,50.5,12.87,5.79,0,46.637,31.3,5.2,6.7,0,1000,1,0
"30",8.5522,0,8.5522,0.183378004588631,0,187,"micro met","DK",104,166.25,70.5,9.15,5.12,0.20993,46.637,31.3,5.2,6.7,0,1000,1,0
"31",6.9084,6.9084,0,0.0550207072316024,1.4544,188,"micro met","DK",104,4.75,4.75,6.17,7.02,0.54737,125.56,34.4,6.9,7.01,0,1000,0,0
"32",9.1181,2.2097,6.9084,0.0726194647977063,0.118801075268817,188,"micro met","DK",104,23.35,18.6,4.19,6.13,0.091398,125.56,34.4,6.9,7.01,0,1000,0,0
"33",11.616,2.4979,9.1181,0.09251353934374,0.109078602620087,188,"micro met","DK",104,46.25,22.9,5.18,4.56,0.0087336,125.56,34.4,6.9,7.01,0,1000,0,0
"34",14.847,3.231,11.616,0.118246256769672,0.0673125,188,"micro met","DK",104,94.25,48,7.05,4.9,0.095833,125.56,34.4,6.9,7.01,0,1000,0,0
"35",16.195,1.348,14.847,0.128982159923543,0.0184027303754266,188,"micro met","DK",104,167.5,73.25,6.75,4.99,0.12969,125.56,34.4,6.9,7.01,0,1000,0,0
"36",5.6092,5.6092,0,0.067107734641383,1.49578666666667,189,"micro met","DK",104,3.75,3.75,6.17,7.02,0.69333,83.585,22.9,6.9,7.01,0,1000,1,0
"37",9.871,4.2618,5.6092,0.118095352036849,0.224305263157895,189,"micro met","DK",104,22.75,19,4.19,6.13,0.089474,83.585,22.9,6.9,7.01,0,1000,1,0
"38",12.787,2.916,9.871,0.152981994376982,0.1296,189,"micro met","DK",104,45.25,22.5,5.18,4.56,0.0088889,83.585,22.9,6.9,7.01,0,1000,1,0
"39",16.739,3.952,12.787,0.200263205120536,0.0832,189,"micro met","DK",104,92.75,47.5,7.05,4.9,0.096842,83.585,22.9,6.9,7.01,0,1000,1,0
"40",18.696,1.957,16.739,0.223676496979123,0.0269931034482759,189,"micro met","DK",104,165.25,72.5,6.75,4.99,0.13103,83.585,22.9,6.9,7.01,0,1000,1,0
"41",10.586,10.586,0,0.0964643703298706,2.49082352941176,190,"micro met","DK",104,4.25,4.25,12.52,4.02,0.047059,109.74,31.9,4.2,6.97,0,1000,0,0
"42",15.53,4.944,10.586,0.14151631128121,0.318967741935484,190,"micro met","DK",104,19.75,15.5,9.64,3.16,0,109.74,31.9,4.2,6.97,0,1000,0,0
"43",17.561,2.031,15.53,0.160023692363769,0.0781153846153846,190,"micro met","DK",104,45.75,26,10.51,5.47,0.47308,109.74,31.9,4.2,6.97,0,1000,0,0
"44",18.511,0.949999999999999,17.561,0.168680517587024,0.0190954773869347,190,"micro met","DK",104,95.5,49.75,11.06,7.01,0.13065,109.74,31.9,4.2,6.97,0,1000,0,0
