"","scenario","pmid","strategy","group_temp","group_wind","group_rain","ct","tan.app","app.rate","man.dm","man.ph","man.source","t.incorp","app.mthd","incorp","air_temp_1","air_temp_2","air_temp_3","air_temp_4","air_temp_5","air_temp_6","wind.2m_1","wind.2m_2","wind.2m_3","wind.2m_4","wind.2m_5","wind.2m_6","rain.rate_1","rain.rate_2","rain.rate_3","rain.rate_4","rain.rate_5","rain.rate_6"
"1",1,1,"Incorporation",1,1,1,72,36.7,18.7,3.8,7.5,0,0,0,1,11.2,10.8,8.7,8,8.1,9.2,2.3,2.3,1.8,1.4,1.4,2.2,0,0,0,0,0,0
"2",1,2,"Broadcast",1,1,1,72,36.7,18.7,3.8,7.5,0,1000,0,0,11.2,10.8,8.7,8,8.1,9.2,2.3,2.3,1.8,1.4,1.4,2.2,0,0,0,0,0,0
"3",1,3,"Trailing hose",1,1,1,72,36.7,18.7,3.8,7.5,0,1000,1,0,11.2,10.8,8.7,8,8.1,9.2,2.3,2.3,1.8,1.4,1.4,2.2,0,0,0,0,0,0
"4",1,4,"Trailing shoe",1,1,1,72,36.7,18.7,3.8,7.5,0,1000,3,0,11.2,10.8,8.7,8,8.1,9.2,2.3,2.3,1.8,1.4,1.4,2.2,0,0,0,0,0,0
"5",1,5,"Open slot",1,1,1,72,36.7,18.7,3.8,7.5,0,1000,2,0,11.2,10.8,8.7,8,8.1,9.2,2.3,2.3,1.8,1.4,1.4,2.2,0,0,0,0,0,0
"6",1,6,"Closed slot",1,1,1,72,36.7,18.7,3.8,7.5,0,1000,4,0,11.2,10.8,8.7,8,8.1,9.2,2.3,2.3,1.8,1.4,1.4,2.2,0,0,0,0,0,0
"7",2,7,"Incorporation",1,1,1,72,36.7,18.7,3.8,7.5,1,0,0,1,11.2,10.8,8.7,8,8.1,9.2,2.3,2.3,1.8,1.4,1.4,2.2,0,0,0,0,0,0
"8",2,8,"Broadcast",1,1,1,72,36.7,18.7,3.8,7.5,1,1000,0,0,11.2,10.8,8.7,8,8.1,9.2,2.3,2.3,1.8,1.4,1.4,2.2,0,0,0,0,0,0
"9",2,9,"Trailing hose",1,1,1,72,36.7,18.7,3.8,7.5,1,1000,1,0,11.2,10.8,8.7,8,8.1,9.2,2.3,2.3,1.8,1.4,1.4,2.2,0,0,0,0,0,0
"10",2,10,"Trailing shoe",1,1,1,72,36.7,18.7,3.8,7.5,1,1000,3,0,11.2,10.8,8.7,8,8.1,9.2,2.3,2.3,1.8,1.4,1.4,2.2,0,0,0,0,0,0
"11",2,11,"Open slot",1,1,1,72,36.7,18.7,3.8,7.5,1,1000,2,0,11.2,10.8,8.7,8,8.1,9.2,2.3,2.3,1.8,1.4,1.4,2.2,0,0,0,0,0,0
