sample,model,pmid,e.cum,ct,prediction_ecum,running_time
6,4,186,11.083,165.85,11.440037,3.7737621943155926
6,4,194,5.2773,164.5,25.19697,3.7737621943155926
6,4,197,15.272,172.05,16.118637,3.7737621943155926
6,4,928,8.0277,144.83,3.429144,3.7737621943155926
6,4,930,8.4867,143.83,14.382286,3.7737621943155926
6,4,933,20.871,143.4,8.922466,3.7737621943155926
6,4,939,15.177,143.5,8.926838,3.7737621943155926
6,4,941,11.429,141.92,8.85656,3.7737621943155926
6,4,946,10.915,147.33,13.087788,3.7737621943155926
6,4,947,2.8849,145.17,8.271429,3.7737621943155926
6,4,950,22.015,148.58,13.1609745,3.7737621943155926
6,4,963,16.102,148.42,13.161779,3.7737621943155926
6,4,970,13.869,144.6,10.695432,3.7737621943155926
6,4,1118,42.729,168.5,30.733133,3.7737621943155926
6,4,1148,17.308,168.03,30.358992,3.7737621943155926
6,4,1159,3.6862,174.35,3.0991526,3.7737621943155926
6,4,1198,5.3561,146.88,3.678743,3.7737621943155926
6,4,1201,8.7937,146.65,5.3477807,3.7737621943155926
6,4,1210,23.068,165.02,17.18404,3.7737621943155926
6,4,1214,11.92,167.78,14.806564,3.7737621943155926
6,4,1238,10.215,138.37,8.600913,3.7737621943155926
6,4,1239,11.817,138.37,8.600913,3.7737621943155926
6,4,1243,6.8146,142.1,10.333494,3.7737621943155926
6,4,1448,21.458,141.48,32.24524,3.7737621943155926
6,4,1457,1.3532,26.2,2.9874287,3.7737621943155926
6,4,1470,6.7436,51.167,3.8958712,3.7737621943155926
6,4,1472,4.794,49.383,4.2480793,3.7737621943155926
6,4,1485,15.536,47.017,10.401979,3.7737621943155926
6,4,1493,8.6729,68.267,5.6667557,3.7737621943155926
6,4,1527,4.25499,170.0,8.344362,3.7737621943155926
6,4,1533,0.0962,94.017,7.434965,3.7737621943155926
6,4,1690,30.928,167.94,31.590307,3.7737621943155926
6,4,1696,18.154,168.22,30.75223,3.7737621943155926
6,4,1714,9.0002,24.05,6.2402554,3.7737621943155926
6,4,1738,10.605,168.16,11.932546,3.7737621943155926
6,4,1740,13.191,168.08,13.934965,3.7737621943155926
6,4,1936,35.0801457484573,175.53,17.130053,3.7737621943155926
6,4,2236,68.30640499255,123.92,61.206734,3.7737621943155926
6,4,2446,0.088439,143.7,5.5618954,3.7737621943155926
6,4,2447,37.677,170.9,23.657858,3.7737621943155926
6,4,2456,11.333,117.7,11.746166,3.7737621943155926
6,4,2538,18.403,96.283,32.336407,3.7737621943155926
6,4,2558,30.508,96.283,27.018412,3.7737621943155926
6,4,2577,24.085,67.683,93.096985,3.7737621943155926
6,4,2789,5.7412,95.083,4.10474,3.7737621943155926
6,4,2792,5.9582,48.083,5.2675686,3.7737621943155926
6,4,2800,3.1987,45.75,2.004099,3.7737621943155926
6,4,2801,10.123,48.367,3.0630894,3.7737621943155926
6,4,2831,8.0472,58.133,17.863596,3.7737621943155926
6,4,2842,3.8303,97.75,17.605402,3.7737621943155926
6,4,2851,11.13,46.317,20.695948,3.7737621943155926
6,4,2857,8.4516,95.85,9.325195,3.7737621943155926
6,4,2858,10.013,55.217,9.548156,3.7737621943155926
6,4,3127,52.53,94.2,97.16876,3.7737621943155926
6,4,3160,24.658,93.0,21.159788,3.7737621943155926
6,4,3164,99.879,96.1,75.288765,3.7737621943155926
6,4,3172,53.941,95.617,81.579445,3.7737621943155926
6,4,3179,30.206,96.967,28.301031,3.7737621943155926
6,4,3191,1.4898,95.7,2.101633,3.7737621943155926
6,4,3198,21.35,94.9,23.809784,3.7737621943155926
6,4,3206,7.2645,93.8,8.349024,3.7737621943155926
6,4,3213,10.591,95.4,16.772436,3.7737621943155926
6,4,3225,22.904,94.7,15.902876,3.7737621943155926
6,4,3234,25.824,95.7,34.05013,3.7737621943155926
6,4,3236,30.503,94.9,21.947084,3.7737621943155926
6,4,3257,5.8855,96.1,9.169815,3.7737621943155926
6,4,3286,2.8092,72.0,4.667227,3.7737621943155926
6,4,3290,0.65132,95.667,4.40625,3.7737621943155926
6,4,3298,15.936,96.317,6.891365,3.7737621943155926
6,4,3323,0.8897,98.65,1.7711409,3.7737621943155926
6,4,3337,4.9595,96.35,2.5800953,3.7737621943155926
6,4,3355,2.2794,96.567,7.8345127,3.7737621943155926
6,4,3357,0.82626,92.933,2.0005016,3.7737621943155926
6,4,3360,16.928,95.367,0.7557634,3.7737621943155926
