sample,model,pmid,e.cum,ct,prediction_ecum,running_time
5,12,182,16.419,164.99,28.536457,6.3631797989209495
5,12,188,16.195,167.5,23.36822,6.3631797989209495
5,12,207,14.106,170.33,29.864937,6.3631797989209495
5,12,927,8.904,142.0,10.540221,6.3631797989209495
5,12,930,8.4867,143.83,14.785017,6.3631797989209495
5,12,935,15.274,142.85,16.317822,6.3631797989209495
5,12,958,6.2404,146.5,8.109444,6.3631797989209495
5,12,971,10.254,144.0,8.635979,6.3631797989209495
5,12,979,14.458,164.2,21.159687,6.3631797989209495
5,12,982,31.749,172.58,9.375984,6.3631797989209495
5,12,1002,6.895,165.05,21.696,6.3631797989209495
5,12,1007,25.065,167.12,34.77436,6.3631797989209495
5,12,1017,33.838,166.82,32.473686,6.3631797989209495
5,12,1120,29.64,168.0,42.819313,6.3631797989209495
5,12,1149,20.455,168.08,25.557615,6.3631797989209495
5,12,1154,7.9911,145.92,25.449217,6.3631797989209495
5,12,1194,11.622,144.22,8.8937235,6.3631797989209495
5,12,1201,8.7937,146.65,4.760453,6.3631797989209495
5,12,1202,20.546,145.95,22.42423,6.3631797989209495
5,12,1220,16.383,166.97,14.59358,6.3631797989209495
5,12,1235,6.4893,142.22,10.649724,6.3631797989209495
5,12,1237,5.1758,139.35,6.7552967,6.3631797989209495
5,12,1242,6.1691,142.1,6.702326,6.3631797989209495
5,12,1248,5.6782,138.48,6.8945303,6.3631797989209495
5,12,1341,9.7775,54.6,16.667213,6.3631797989209495
5,12,1461,1.0509,47.3,1.4248297,6.3631797989209495
5,12,1473,0.86263,30.017,5.0221624,6.3631797989209495
5,12,1474,0.72188,29.533,5.368209,6.3631797989209495
5,12,1483,15.484,44.45,12.677583,6.3631797989209495
5,12,1484,10.49,46.983,13.392101,6.3631797989209495
5,12,1524,5.73409,176.0,1.7986313,6.3631797989209495
5,12,1533,0.0962,94.017,4.304564,6.3631797989209495
5,12,1695,26.417,167.97,16.219995,6.3631797989209495
5,12,1702,40.044,168.1,45.553516,6.3631797989209495
5,12,1707,34.223,167.96,45.40055,6.3631797989209495
5,12,1711,19.012,24.05,11.935747,6.3631797989209495
5,12,1749,12.55,168.12,10.486486,6.3631797989209495
5,12,2233,40.65634943788,129.83,42.654438,6.3631797989209495
5,12,2445,3.8798,144.13,19.4447,6.3631797989209495
5,12,2446,0.088439,143.7,11.748147,6.3631797989209495
5,12,2455,1.9381,145.5,3.435787,6.3631797989209495
5,12,2536,20.458,95.367,13.747858,6.3631797989209495
5,12,2568,26.48,96.6,3.9847527,6.3631797989209495
5,12,2578,24.557,68.267,21.54267,6.3631797989209495
5,12,2783,12.647,94.017,17.70318,6.3631797989209495
5,12,2785,9.0231,93.8,12.05581,6.3631797989209495
5,12,2797,12.426,46.7,8.012814,6.3631797989209495
5,12,2813,5.1048,47.533,11.52591,6.3631797989209495
5,12,2831,8.0472,58.133,19.448072,6.3631797989209495
5,12,2834,3.2453,69.867,2.3109725,6.3631797989209495
5,12,2835,13.748,31.183,14.222153,6.3631797989209495
5,12,2836,10.973,31.883,9.867751,6.3631797989209495
5,12,2848,9.2466,56.5,8.401737,6.3631797989209495
5,12,2849,2.7917,57.467,4.8481884,6.3631797989209495
5,12,2856,11.365,94.833,9.4117565,6.3631797989209495
5,12,3118,26.376,94.4,49.094845,6.3631797989209495
5,12,3150,90.654,95.7,80.73941,6.3631797989209495
5,12,3182,15.223,56.5,35.520603,6.3631797989209495
5,12,3189,19.471,95.7,18.64927,6.3631797989209495
5,12,3195,16.271,92.7,11.969708,6.3631797989209495
5,12,3204,69.142,70.3,51.184666,6.3631797989209495
5,12,3213,10.591,95.4,16.515537,6.3631797989209495
5,12,3215,10.528,93.6,6.266829,6.3631797989209495
5,12,3225,22.904,94.7,19.571095,6.3631797989209495
5,12,3235,29.096,54.4,16.251621,6.3631797989209495
5,12,3241,39.695,95.8,42.089405,6.3631797989209495
5,12,3242,9.0332,95.2,3.9371793,6.3631797989209495
5,12,3245,2.6718,96.5,4.100023,6.3631797989209495
5,12,3300,27.052,96.033,26.972275,6.3631797989209495
5,12,3305,20.567,99.45,13.640597,6.3631797989209495
5,12,3325,5.0531,97.967,2.228129,6.3631797989209495
5,12,3327,16.702,98.183,15.347197,6.3631797989209495
5,12,3338,11.142,96.017,9.973937,6.3631797989209495
5,12,3360,16.928,95.367,8.326542,6.3631797989209495
