model,hidden_size,with_embeddings,min_mae_eval,sample,running_time
1,16,True,7.087530522746019,12,12.853493297100067
2,16,False,5.917239287542201,12,9.756843181451162
3,64,True,5.118995738661379,12,13.159047043323516
4,64,False,5.634207486416896,12,9.867363234361013
5,128,True,5.119047046626194,12,13.070045034090677
6,128,False,5.543597525304137,12,9.818528378009796
7,256,True,5.196442576543095,12,13.142756068706513
8,256,False,5.680033150030452,12,9.95273456176122
9,512,True,4.673318218076104,12,17.739794687430063
10,512,False,5.352403430171117,12,14.40906644264857
