sample,model,pmid,e.cum,delta_e.cum,ct,dt,air.temp,wind.2m,rain.rate,prediction_ecum,prediction_delta_ecum,running_time
1,23,185,4.418,4.418,6.5,6.5,11.62,8.13,0.0,6.0182114,5.010537,17.534859291712444
1,23,185,5.6186,1.2006,21.0,14.5,8.41,6.26,0.0,8.464639,3.0896823,17.534859291712444
1,23,185,7.2675,1.6489,45.5,24.5,9.91,7.42,0.0,12.62354,3.6453087,17.534859291712444
1,23,185,7.7018,0.4343,96.0,50.5,12.66,3.77,0.0,16.47443,1.7666119,17.534859291712444
1,23,185,8.2469,0.5451,165.0,69.0,10.62,6.13,0.0,18.94968,0.8805429,17.534859291712444
1,23,194,1.8792,1.8792,4.0,4.0,18.24,6.78,0.0,6.496621,5.6592474,17.534859291712444
1,23,194,3.0557,1.1765,20.25,16.25,13.95,3.93,0.0,10.955444,4.4813447,17.534859291712444
1,23,194,4.5353,1.4796,44.0,23.75,14.34,4.02,0.0,14.535276,3.2602763,17.534859291712444
1,23,194,5.2265,0.691199999999999,92.0,48.0,13.1,2.84,0.0020833,16.587585,2.571838,17.534859291712444
1,23,194,5.2773,0.0508000000000006,164.5,72.5,10.67,3.52,0.049655,17.654894,1.7909224,17.534859291712444
1,23,207,1.7365,1.7365,0.75,0.75,13.7,2.3,0.0,2.481995,1.9099655,17.534859291712444
1,23,207,4.8156,3.0791,5.4167,4.6667,16.5,2.4,0.10714,7.3692083,4.1665535,17.534859291712444
1,23,207,8.9799,4.1643,23.917,18.5003,14.4,3.3,0.0,12.185672,5.100824,17.534859291712444
1,23,207,10.835,1.8551,49.333,25.416,13.5,3.0,0.0,17.71612,4.48504,17.534859291712444
1,23,207,12.406,1.571,96.083,46.75,18.0,2.8,0.002139,24.102852,4.3359075,17.534859291712444
1,23,207,14.106,1.7,170.33,74.247,14.6,3.3,0.10505,26.88354,0.96178025,17.534859291712444
1,23,921,0.969,0.969,1.0,1.0,2.8,7.0808,0.6,0.506899,0.23266912,17.534859291712444
1,23,921,1.289,0.32,3.0,2.0,2.8,7.846,0.0,2.7071974,1.6627736,17.534859291712444
1,23,921,1.4378,0.1488,4.5,1.5,2.8,7.04,0.0,4.146216,0.47180295,17.534859291712444
1,23,921,3.6074,2.1696,23.667,19.167,4.9,7.8664,0.0625,5.8469753,2.535741,17.534859291712444
1,23,921,5.1674,1.56,47.667,24.0,6.3,11.264,0.0,7.698652,2.3970525,17.534859291712444
1,23,921,10.936,5.7686,94.583,46.916,6.9,12.478,0.034115,11.182887,3.6408055,17.534859291712444
1,23,921,14.35,3.414,144.75,50.167,8.3,9.1214,0.0,14.2645035,2.5771835,17.534859291712444
1,23,927,4.408,4.408,1.0,1.0,16.3,8.1827,0.2,5.3092527,4.966343,17.534859291712444
1,23,927,7.924,3.516,3.0,2.0,16.3,8.1317,0.0,7.445442,3.4440176,17.534859291712444
1,23,927,8.104,0.179999999999999,6.0,3.0,16.3,7.2134,0.0,8.224216,0.97873914,17.534859291712444
1,23,927,8.5615,0.457500000000001,24.25,18.25,17.6,3.6832,0.10929,10.775428,2.0782104,17.534859291712444
1,23,927,9.655,1.0935,48.583,24.333,17.3,5.4994,0.0,11.7605715,0.87659705,17.534859291712444
1,23,927,10.139,0.484,92.583,44.0,13.5,3.7343,0.12727,13.77724,1.1721783,17.534859291712444
1,23,927,8.904,-1.235,142.0,49.417,17.9,4.4893,0.0,14.056491,1.0507452,17.534859291712444
1,23,929,0.192,0.192,1.0,1.0,17.5,4.6219,0.2,2.304201,1.6542058,17.534859291712444
1,23,929,1.504,1.312,3.0,2.0,17.5,4.6219,0.0,4.726856,2.0469074,17.534859291712444
1,23,929,2.008,0.504,6.0,3.0,17.5,4.6219,0.0,5.790951,1.156668,17.534859291712444
1,23,929,2.7992,0.7912,23.167,17.167,13.8,2.8874,0.30233,8.36345,1.7362913,17.534859291712444
1,23,929,2.7209,-0.0783,49.25,26.083,8.7,5.7544,0.11494,7.5540457,0.57738465,17.534859291712444
1,23,929,2.6727,-0.0482,97.467,48.217,10.4,5.0402,0.10373,7.9728346,0.81807274,17.534859291712444
1,23,929,2.1039,-0.5688,144.82,47.353,13.6,2.1732,0.080169,8.182102,0.37212658,17.534859291712444
1,23,948,0.284,0.284,1.0,1.0,10.0,5.1014,0.0,1.9547812,1.5831108,17.534859291712444
1,23,948,2.67,2.386,3.0,2.0,10.0,5.1014,0.0,5.0550857,2.2023668,17.534859291712444
1,23,948,4.056,1.386,6.0,3.0,10.0,5.1014,0.0,7.0731483,1.9596165,17.534859291712444
1,23,948,6.144,2.088,24.0,18.0,9.3,5.3871,0.47778,9.614018,2.148803,17.534859291712444
1,23,948,7.9999,1.8559,51.667,27.667,9.0,5.3871,0.25271,10.050187,0.80751777,17.534859291712444
1,23,948,8.2453,0.2454,92.583,40.916,10.4,2.9792,0.04401,10.735342,0.5429765,17.534859291712444
1,23,948,9.1412,0.895899999999999,145.25,52.667,9.3,2.1222,0.0,9.886407,0.31951702,17.534859291712444
1,23,955,0.54,0.54,1.0,1.0,10.0,5.1014,0.0,1.9547812,1.5831108,17.534859291712444
1,23,955,1.796,1.256,3.2,2.2,10.0,5.1014,0.0,5.0940175,2.2264311,17.534859291712444
1,23,955,2.426,0.63,6.2,3.0,10.0,5.1014,0.0,7.126289,1.9494984,17.534859291712444
1,23,955,2.768,0.342,24.2,18.0,9.3,5.3871,0.47778,9.634368,2.1335456,17.534859291712444
1,23,955,2.8762,0.1082,51.25,27.05,9.0,5.3871,0.25878,9.995421,0.7728454,17.534859291712444
1,23,955,3.243,0.3668,92.0,40.75,10.4,2.9792,0.044172,10.665985,0.53750324,17.534859291712444
1,23,955,3.1902,-0.0528,144.83,52.83,9.3,2.1222,0.0,9.889825,0.33437192,17.534859291712444
1,23,988,3.2528,3.2528,3.8333,3.8333,12.1,3.05,0.0,3.7872403,3.4690974,17.534859291712444
1,23,988,8.0108,4.758,23.45,19.6167,10.9,3.17,0.0,9.442373,3.309345,17.534859291712444
1,23,988,9.4622,1.4514,48.133,24.683,10.0,3.48,0.065041,11.201866,2.025685,17.534859291712444
1,23,988,9.5315,0.0693000000000001,71.283,23.15,10.9,3.76,0.42424,9.635865,0.38921863,17.534859291712444
1,23,988,9.582,0.0505000000000013,121.8,50.517,8.4,3.49,0.035644,10.36868,0.61635065,17.534859291712444
1,23,988,9.6686,0.0865999999999989,165.13,43.33,7.1,2.59,0.1709,10.104728,0.12173939,17.534859291712444
1,23,999,2.0575,2.0575,2.5333,2.5333,13.5,3.52,0.0,3.7110121,3.2972238,17.534859291712444
1,23,999,4.9883,2.9308,5.9333,3.4,15.6,3.74,0.0,8.406443,3.9095647,17.534859291712444
1,23,999,7.9043,2.916,23.917,17.9837,10.8,1.41,0.0,10.650338,3.1950996,17.534859291712444
1,23,999,11.178,3.2737,50.317,26.4,14.2,2.09,0.0,12.501936,1.9453423,17.534859291712444
1,23,999,12.162,0.984,74.4,24.083,16.1,1.61,0.0,12.46681,-0.09745127,17.534859291712444
1,23,999,12.673,0.510999999999999,121.0,46.6,14.2,1.83,0.0,12.070723,0.15277725,17.534859291712444
1,23,999,13.16,0.487,169.75,48.75,14.7,1.85,0.0,13.303054,0.044737097,17.534859291712444
1,23,1005,7.0592,7.0592,3.1667,3.1667,11.8,5.39,0.3125,4.11172,3.9832242,17.534859291712444
1,23,1005,10.143,3.0838,5.0833,1.9166,12.2,5.47,0.73684,6.693871,2.2976282,17.534859291712444
1,23,1005,17.995,7.852,20.0,14.9167,11.6,5.56,0.18792,9.19083,2.8105164,17.534859291712444
1,23,1005,21.88,3.885,45.933,25.933,8.6,3.53,0.27027,12.663947,1.8008072,17.534859291712444
1,23,1005,21.068,-0.811999999999998,70.5,24.567,7.8,4.08,0.21951,13.896156,1.2178099,17.534859291712444
1,23,1005,21.416,0.347999999999999,120.07,49.57,10.4,3.79,0.22177,13.825425,0.25064683,17.534859291712444
1,23,1005,21.328,-0.088000000000001,164.08,44.01,11.7,2.49,0.18182,13.043513,-0.6341846,17.534859291712444
1,23,1007,2.517,2.517,3.0167,3.0167,8.9,4.43,0.0,2.680411,2.2842247,17.534859291712444
1,23,1007,13.74,11.223,24.0,20.9833,9.6,7.45,0.0095694,9.268317,4.2666907,17.534859291712444
1,23,1007,22.99,9.25,52.217,28.217,10.9,7.21,0.042553,13.063488,4.0072727,17.534859291712444
