sample,model,n_parameters,pmid,e.cum,delta_e.cum,ct,dt,air.temp,wind.2m,rain.rate,prediction_ecum,prediction_delta_ecum,running_time
2,1,569450,183,1.1564,1.1564,2.0,2.0,13.77,4.31,0.0,1.9393631,1.9393631,89.37095987002054
2,1,569450,183,2.3128,1.1564,4.0,2.0,13.77,4.31,0.0,3.668493,1.7291299,89.37095987002054
2,1,569450,183,3.4692,1.1564,6.0,2.0,13.77,4.31,0.0,4.8758726,1.2073797,89.37095987002054
2,1,569450,183,3.75140689655172,0.282206896551724,8.0,2.0,13.2334482758621,4.18172413793103,0.0,5.5552144,0.67934155,89.37095987002054
2,1,569450,183,4.03361379310345,0.282206896551725,10.0,2.0,12.6968965517241,4.05344827586207,0.0,5.9697556,0.41454157,89.37095987002054
2,1,569450,183,4.31582068965517,0.282206896551724,12.0,2.0,12.1603448275862,3.9251724137931,0.0,6.1495237,0.17976779,89.37095987002054
2,1,569450,183,4.5980275862069,0.282206896551724,14.0,2.0,11.6237931034483,3.79689655172414,0.0,6.282272,0.13274816,89.37095987002054
2,1,569450,183,4.88023448275862,0.282206896551724,16.0,2.0,11.0872413793103,3.66862068965517,0.0,6.436144,0.15387183,89.37095987002054
2,1,569450,183,5.16244137931035,0.282206896551725,18.0,2.0,10.5506896551724,3.54034482758621,0.0,6.577551,0.14140707,89.37095987002054
2,1,569450,183,5.44464827586207,0.282206896551724,20.0,2.0,10.0141379310345,3.41206896551724,0.0,6.717572,0.14002158,89.37095987002054
2,1,569450,183,5.5152,0.070551724137931,22.0,2.0,9.92615384615385,3.38789473684211,0.0,6.850304,0.13273175,89.37095987002054
2,1,569450,183,5.5152,0.0,24.0,2.0,9.98769230769231,3.39842105263158,0.0,6.9574776,0.10717337,89.37095987002054
2,1,569450,183,5.5152,0.0,26.0,2.0,10.0492307692308,3.40894736842105,0.0,7.0290117,0.07153456,89.37095987002054
2,1,569450,183,5.5152,0.0,28.0,2.0,10.1107692307692,3.41947368421053,0.0,7.092201,0.06318948,89.37095987002054
2,1,569450,183,5.5152,0.0,30.0,2.0,10.1723076923077,3.43,0.0,7.1553907,0.06318948,89.37095987002054
2,1,569450,183,5.5152,0.0,32.0,2.0,10.2338461538462,3.44052631578947,0.0,7.2185802,0.06318948,89.37095987002054
2,1,569450,183,5.5152,0.0,34.0,2.0,10.2953846153846,3.45105263157895,0.0,7.2817698,0.06318948,89.37095987002054
2,1,569450,183,5.5152,0.0,36.0,2.0,10.3569230769231,3.46157894736842,0.0,7.3449593,0.06318948,89.37095987002054
2,1,569450,183,5.5152,0.0,38.0,2.0,10.4184615384615,3.47210526315789,0.0,7.408149,0.06318948,89.37095987002054
2,1,569450,183,5.5152,0.0,40.0,2.0,10.48,3.48263157894737,0.0,7.4713383,0.06318948,89.37095987002054
2,1,569450,183,5.5152,0.0,42.0,2.0,10.5415384615385,3.49315789473684,0.0,7.534528,0.06318948,89.37095987002054
2,1,569450,183,5.5152,0.0,44.0,2.0,10.6030769230769,3.50368421052632,0.0,7.5977173,0.06318948,89.37095987002054
2,1,569450,183,5.5204,0.0052000000000003,46.0,2.0,10.6201666666667,3.5225,0.0,7.660907,0.06318948,89.37095987002054
2,1,569450,183,5.5334,0.0129999999999999,48.0,2.0,10.5705833333333,3.55375,0.0,7.7240963,0.06318948,89.37095987002054
2,1,569450,183,5.5464,0.0129999999999999,50.0,2.0,10.521,3.585,0.0,7.787286,0.06318948,89.37095987002054
2,1,569450,183,5.5594,0.0129999999999999,52.0,2.0,10.4714166666667,3.61625,0.0,7.8504753,0.06318948,89.37095987002054
2,1,569450,183,5.5724,0.0129999999999999,54.0,2.0,10.4218333333333,3.6475,0.0,7.913665,0.06318948,89.37095987002054
2,1,569450,183,5.5854,0.0129999999999999,56.0,2.0,10.37225,3.67875,0.0,7.9768543,0.06318948,89.37095987002054
2,1,569450,183,5.5984,0.0129999999999999,58.0,2.0,10.3226666666667,3.71,0.0,8.040044,0.06318948,89.37095987002054
2,1,569450,183,5.6114,0.0130000000000008,60.0,2.0,10.2730833333333,3.74125,0.0,8.103233,0.06318948,89.37095987002054
2,1,569450,183,5.6244,0.0129999999999999,62.0,2.0,10.2235,3.7725,0.0,8.166423,0.06318948,89.37095987002054
2,1,569450,183,5.6374,0.0129999999999999,64.0,2.0,10.1739166666667,3.80375,0.0,8.229612,0.06318948,89.37095987002054
2,1,569450,183,5.6504,0.0129999999999999,66.0,2.0,10.1243333333333,3.835,0.0,8.292802,0.06318948,89.37095987002054
2,1,569450,183,5.6634,0.0129999999999999,68.0,2.0,10.07475,3.86625,0.0,8.355991,0.06318948,89.37095987002054
2,1,569450,183,5.6764,0.0129999999999999,70.0,2.0,10.0251666666667,3.8975,0.0,8.419181,0.06318948,89.37095987002054
2,1,569450,183,5.6894,0.0129999999999999,72.0,2.0,9.97558333333333,3.92875,0.0,8.48237,0.06318948,89.37095987002054
2,1,569450,183,5.7024,0.0129999999999999,74.0,2.0,9.926,3.96,0.0,8.545559,0.06318948,89.37095987002054
2,1,569450,183,5.7154,0.0130000000000008,76.0,2.0,9.87641666666667,3.99125,0.0,8.608748,0.06318948,89.37095987002054
2,1,569450,183,5.7284,0.0129999999999999,78.0,2.0,9.82683333333333,4.0225,0.0,8.671938,0.06318948,89.37095987002054
2,1,569450,183,5.7414,0.0129999999999999,80.0,2.0,9.77725,4.05375,0.0,8.735127,0.06318948,89.37095987002054
2,1,569450,183,5.7544,0.0129999999999999,82.0,2.0,9.72766666666667,4.085,0.0,8.798317,0.06318948,89.37095987002054
2,1,569450,183,5.7674,0.0129999999999999,84.0,2.0,9.67808333333333,4.11625,0.0,8.861506,0.06318948,89.37095987002054
