sample,model,n_parameters,pmid,e.cum,delta_e.cum,ct,dt,air.temp,wind.2m,rain.rate,prediction_ecum,prediction_delta_ecum,running_time
1,1,570474,185,4.418,4.418,6.5,6.5,11.62,8.13,0.0,2.9715323,2.9715323,266.93321129878365
1,1,570474,185,5.6186,1.2006,21.0,14.5,8.41,6.26,0.0,4.3860073,1.4144747,266.93321129878365
1,1,570474,185,7.2675,1.6489,45.5,24.5,9.91,7.42,0.0,6.9161654,2.530158,266.93321129878365
1,1,570474,185,7.7018,0.4343,96.0,50.5,12.66,3.77,0.0,8.185242,1.2690771,266.93321129878365
1,1,570474,185,8.2469,0.5451,165.0,69.0,10.62,6.13,0.0,9.544642,1.3594003,266.93321129878365
1,1,570474,194,1.8792,1.8792,4.0,4.0,18.24,6.78,0.0,10.2543545,10.2543545,266.93321129878365
1,1,570474,194,3.0557,1.1765,20.25,16.25,13.95,3.93,0.0,12.459918,2.2055638,266.93321129878365
1,1,570474,194,4.5353,1.4796,44.0,23.75,14.34,4.02,0.0,14.693264,2.2333455,266.93321129878365
1,1,570474,194,5.2265,0.691199999999999,92.0,48.0,13.1,2.84,0.0020833,16.427876,1.7346127,266.93321129878365
1,1,570474,194,5.2773,0.0508000000000006,164.5,72.5,10.67,3.52,0.049655,16.131824,-0.29605192,266.93321129878365
1,1,570474,207,1.7365,1.7365,0.75,0.75,13.7,2.3,0.0,1.3902125,1.3902125,266.93321129878365
1,1,570474,207,4.8156,3.0791,5.4167,4.6667,16.5,2.4,0.10714,7.3588805,5.968668,266.93321129878365
1,1,570474,207,8.9799,4.1643,23.917,18.5003,14.4,3.3,0.0,16.629215,9.270335,266.93321129878365
1,1,570474,207,10.835,1.8551,49.333,25.416,13.5,3.0,0.0,21.391273,4.7620564,266.93321129878365
1,1,570474,207,12.406,1.571,96.083,46.75,18.0,2.8,0.002139,24.620117,3.2288454,266.93321129878365
1,1,570474,207,14.106,1.7,170.33,74.247,14.6,3.3,0.10505,27.38225,2.762132,266.93321129878365
1,1,570474,921,0.969,0.969,1.0,1.0,2.8,7.0808,0.6,0.44427395,0.44427395,266.93321129878365
1,1,570474,921,1.289,0.32,3.0,2.0,2.8,7.846,0.0,1.3277626,0.8834886,266.93321129878365
1,1,570474,921,1.4378,0.1488,4.5,1.5,2.8,7.04,0.0,1.6607711,0.33300853,266.93321129878365
1,1,570474,921,3.6074,2.1696,23.667,19.167,4.9,7.8664,0.0625,4.6068835,2.9461124,266.93321129878365
1,1,570474,921,5.1674,1.56,47.667,24.0,6.3,11.264,0.0,6.211586,1.6047025,266.93321129878365
1,1,570474,921,10.936,5.7686,94.583,46.916,6.9,12.478,0.034115,10.006699,3.7951126,266.93321129878365
1,1,570474,921,14.35,3.414,144.75,50.167,8.3,9.1214,0.0,12.907445,2.900746,266.93321129878365
1,1,570474,927,4.408,4.408,1.0,1.0,16.3,8.1827,0.2,5.4183826,5.4183826,266.93321129878365
1,1,570474,927,7.924,3.516,3.0,2.0,16.3,8.1317,0.0,7.497533,2.0791502,266.93321129878365
1,1,570474,927,8.104,0.179999999999999,6.0,3.0,16.3,7.2134,0.0,8.038105,0.540572,266.93321129878365
1,1,570474,927,8.5615,0.457500000000001,24.25,18.25,17.6,3.6832,0.10929,9.157374,1.1192696,266.93321129878365
1,1,570474,927,9.655,1.0935,48.583,24.333,17.3,5.4994,0.0,9.58104,0.42366612,266.93321129878365
1,1,570474,927,10.139,0.484,92.583,44.0,13.5,3.7343,0.12727,9.417625,-0.16341476,266.93321129878365
1,1,570474,927,8.904,-1.235,142.0,49.417,17.9,4.4893,0.0,10.980396,1.5627706,266.93321129878365
1,1,570474,929,0.192,0.192,1.0,1.0,17.5,4.6219,0.2,1.5312028,1.5312028,266.93321129878365
1,1,570474,929,1.504,1.312,3.0,2.0,17.5,4.6219,0.0,3.3926837,1.861481,266.93321129878365
1,1,570474,929,2.008,0.504,6.0,3.0,17.5,4.6219,0.0,4.769844,1.3771603,266.93321129878365
1,1,570474,929,2.7992,0.7912,23.167,17.167,13.8,2.8874,0.30233,6.768243,1.9983985,266.93321129878365
1,1,570474,929,2.7209,-0.0783,49.25,26.083,8.7,5.7544,0.11494,6.5015674,-0.26667506,266.93321129878365
1,1,570474,929,2.6727,-0.0482,97.467,48.217,10.4,5.0402,0.10373,6.688387,0.18681955,266.93321129878365
1,1,570474,929,2.1039,-0.5688,144.82,47.353,13.6,2.1732,0.080169,6.392335,-0.29605192,266.93321129878365
1,1,570474,948,0.284,0.284,1.0,1.0,10.0,5.1014,0.0,1.7292323,1.7292323,266.93321129878365
1,1,570474,948,2.67,2.386,3.0,2.0,10.0,5.1014,0.0,4.6819353,2.9527028,266.93321129878365
1,1,570474,948,4.056,1.386,6.0,3.0,10.0,5.1014,0.0,6.7816,2.099665,266.93321129878365
1,1,570474,948,6.144,2.088,24.0,18.0,9.3,5.3871,0.47778,8.126549,1.3449483,266.93321129878365
1,1,570474,948,7.9999,1.8559,51.667,27.667,9.0,5.3871,0.25271,8.220344,0.0937953,266.93321129878365
1,1,570474,948,8.2453,0.2454,92.583,40.916,10.4,2.9792,0.04401,7.9242916,-0.29605192,266.93321129878365
